strategy,key,run,window,months,gross_pct,cost_pct,net_pct,net_t,net_sharpe,breakeven_oneway_pct
Size (SMB),size,1x,IS,480,0.15741666666666662,0.039999999999999966,0.11741666666666674,0.9131048165311153,0.14437454813542464,6.399051490514902
Size (SMB),size,1x,OOS,63,1.2231746031746031,0.039999999999999945,1.183174603174603,3.503996486601871,1.52926944140118,49.72254484449607
Size (SMB),size,1x,POST,544,0.014889705882352935,0.03999999999999997,-0.025110294117647043,-0.19847068365074277,-0.02947728896545256,0.6052725968436151
Size (SMB),size,0.5x,IS,480,0.15741666666666662,0.019999999999999976,0.13741666666666671,1.0686372196308083,0.16896638032314773,6.399051490514902
Size (SMB),size,0.5x,OOS,63,1.2231746031746031,0.01999999999999998,1.2031746031746033,3.563226907491573,1.555119716369861,49.72254484449607
Size (SMB),size,0.5x,POST,544,0.014889705882352935,0.01999999999999996,-0.005110294117647017,-0.0403915446961245,-0.005999038310685029,0.6052725968436151
Size (SMB),size,2x,IS,480,0.15741666666666662,0.08,0.0774166666666667,0.602040010331729,0.09519088375997833,6.399051490514902
Size (SMB),size,2x,OOS,63,1.2231746031746031,0.08,1.1431746031746033,3.3855356448224687,1.477568891463818,49.72254484449607
Size (SMB),size,2x,POST,544,0.014889705882352935,0.08,-0.06511029411764704,-0.514628961559979,-0.07643379027498756,0.6052725968436151
Size (SMB),size,era,IS,480,0.15741666666666662,0.060000000000000046,0.09741666666666658,0.7575724134314211,0.11978271594770132,6.399051490514902
Size (SMB),size,era,OOS,63,1.2231746031746031,0.060000000000000116,1.1631746031746029,3.444766065712169,1.5034191664324987,49.72254484449607
Size (SMB),size,era,POST,544,0.014889705882352935,0.0291911764705882,-0.014301470588235275,-0.11302271791550278,-0.016786374966687122,0.6052725968436151
Value (HML),value,1x,IS,330,0.4249090909090908,0.05000000000000003,0.37490909090909086,2.661643777855946,0.5075555536167901,7.300843486410492
Value (HML),value,1x,OOS,18,0.6822222222222222,0.050000000000000044,0.6322222222222221,0.9637266931019348,0.7868795498665138,11.722031309660174
Value (HML),value,1x,POST,409,0.18058679706601471,0.05000000000000003,0.13058679706601464,0.807497965156934,0.13831535815021648,3.1028659289693237
Value (HML),value,0.5x,IS,330,0.4249090909090908,0.025000000000000022,0.3999090909090909,2.839129723275535,0.5414007954316827,7.300843486410492
Value (HML),value,0.5x,OOS,18,0.6822222222222222,0.025000000000000022,0.6572222222222222,1.0018353936200255,0.8179951735431334,11.722031309660174
Value (HML),value,0.5x,POST,409,0.18058679706601471,0.025000000000000022,0.1555867970660147,0.9620882421412004,0.1647949413197721,3.1028659289693237
Value (HML),value,2x,IS,330,0.4249090909090908,0.10000000000000005,0.32490909090909087,2.3066718870167677,0.43986506998700475,7.300843486410492
Value (HML),value,2x,OOS,18,0.6822222222222222,0.10000000000000005,0.5822222222222221,0.8875092920657536,0.7246483025132744,11.722031309660174
Value (HML),value,2x,POST,409,0.18058679706601471,0.10000000000000006,0.0805867970660146,0.49831741118840156,0.08535619181110526,3.1028659289693237
Value (HML),value,era,IS,330,0.4249090909090908,0.06712121212121216,0.35778787878787877,2.5403885403742024,0.4844330870790036,7.300843486410492
Value (HML),value,era,OOS,18,0.6822222222222222,0.050000000000000044,0.6322222222222221,0.9637266931019348,0.7868795498665138,11.722031309660174
Value (HML),value,era,POST,409,0.18058679706601471,0.03123471882640589,0.1493520782396088,0.9236468843251332,0.15821036723595183,3.1028659289693237
Momentum (UMD),momentum,1x,IS,300,0.8211999999999999,0.6499999999999999,0.17119999999999996,0.8368019210754012,0.1673603842150802,1.1894553881807644
Momentum (UMD),momentum,1x,OOS,39,1.167179487179487,0.6500000000000001,0.5171794871794871,0.9920498560402037,0.5502902498107113,1.6905844252310063
Momentum (UMD),momentum,1x,POST,400,0.3890249999999999,0.6500000000000001,-0.26097500000000007,-1.0910847773258878,-0.18898142696934128,0.5634776940903821
Momentum (UMD),momentum,0.5x,IS,300,0.8211999999999999,0.325,0.4961999999999999,2.425356969845877,0.48507139396917526,1.1894553881807644
Momentum (UMD),momentum,0.5x,OOS,39,1.167179487179487,0.32500000000000007,0.8421794871794871,1.6154624452969997,0.8960973354007341,1.6905844252310063
Momentum (UMD),momentum,0.5x,POST,400,0.3890249999999999,0.32500000000000007,0.06402499999999986,0.26767584200896566,0.046362815831830814,0.5634776940903821
Momentum (UMD),momentum,2x,IS,300,0.8211999999999999,1.2999999999999998,-0.47880000000000017,-2.340308176465551,-0.46806163529311007,1.1894553881807644
Momentum (UMD),momentum,2x,OOS,39,1.167179487179487,1.3000000000000003,-0.13282051282051294,-0.25477532247338913,-0.14132392136933497,1.6905844252310063
Momentum (UMD),momentum,2x,POST,400,0.3890249999999999,1.3000000000000003,-0.9109750000000002,-3.808606015995597,-0.6596699125716858,0.5634776940903821
Momentum (UMD),momentum,era,IS,300,0.8211999999999999,0.8753333333333335,-0.054133333333333464,-0.2647325174176443,-0.052946503483528855,1.1894553881807644
Momentum (UMD),momentum,era,OOS,39,1.167179487179487,0.6500000000000001,0.5171794871794871,0.9920498560402037,0.5502902498107113,1.6905844252310063
Momentum (UMD),momentum,era,POST,400,0.3890249999999999,0.40056250000000004,-0.01153750000000011,-0.04834209702756474,-0.008373096819616654,0.5634776940903821
Short-term reversal,reversal,1x,IS,648,0.9630864197530864,1.6500000000000004,-0.6869135802469137,-5.9967333861648395,-0.8160520510897894,0.5299253987856756
Short-term reversal,reversal,1x,OOS,31,0.35838709677419367,1.6500000000000001,-1.2916129032258066,-3.103135315367762,-1.9306808545490601,0.19719769823604802
Short-term reversal,reversal,1x,POST,432,0.13865740740740742,1.6500000000000004,-1.5113425925925927,-8.834974544195692,-1.4724957573659485,0.07629438065775694
Short-term reversal,reversal,0.5x,IS,648,0.9630864197530864,0.8250000000000002,0.13808641975308636,1.2054899878550267,0.16404640890437255,0.5299253987856756
Short-term reversal,reversal,0.5x,OOS,31,0.35838709677419367,0.8250000000000001,-0.4666129032258065,-1.121050258161705,-0.6974849790472565,0.19719769823604802
Short-term reversal,reversal,0.5x,POST,432,0.13865740740740742,0.8250000000000004,-0.6863425925925927,-4.012207003145997,-0.6687011671909995,0.07629438065775694
Short-term reversal,reversal,2x,IS,648,0.9630864197530864,3.3000000000000007,-2.3369135802469136,-20.40118013420457,-2.776248971078113,0.5299253987856756
Short-term reversal,reversal,2x,OOS,31,0.35838709677419367,3.3000000000000003,-2.941612903225807,-7.067305429779875,-4.397072605552667,0.19719769823604802
Short-term reversal,reversal,2x,POST,432,0.13865740740740742,3.3000000000000016,-3.1613425925925926,-18.480509626295074,-3.0800849377158457,0.07629438065775694
Short-term reversal,reversal,era,IS,648,0.9630864197530864,2.388425925925926,-1.4253395061728396,-12.418985823546041,-1.6900099105858737,0.5299253987856756
Short-term reversal,reversal,era,OOS,31,0.35838709677419367,1.6500000000000001,-1.2916129032258066,-3.103135315367762,-1.9306808545490601,0.19719769823604802
