strategy,paper,window,start,end,n,mean_pct,t,sharpe,replicated_IS
Size (SMB),Banz 1981,IS,1936-01,1975-12,480,0.15741666666666662,1.2241696227305008,0.19355821251087077,False
Size (SMB),Banz 1981,OOS,1976-01,1981-03,63,1.2231746031746031,3.622457328381274,1.580969991338542,False
Size (SMB),Banz 1981,POST,1981-04,2026-07,544,0.014889705882352935,0.11768759425849318,0.017479212344082416,False
Value (HML),Fama-French 1992,IS,1963-07,1990-12,330,0.4249090909090908,3.016615668695124,0.5752460372465753,True
Value (HML),Fama-French 1992,OOS,1991-01,1992-06,18,0.6822222222222222,1.039944094138116,0.849110797219753,True
Value (HML),Fama-French 1992,POST,1992-07,2026-07,409,0.18058679706601471,1.1166785191254667,0.19127452448932772,True
Momentum (UMD),Jegadeesh-Titman 1993,IS,1965-01,1989-12,300,0.8211999999999999,4.013912018616352,0.8027824037232704,True
Momentum (UMD),Jegadeesh-Titman 1993,OOS,1990-01,1993-03,39,1.167179487179487,2.2388750345537964,1.2419044209907573,True
Momentum (UMD),Jegadeesh-Titman 1993,POST,1993-04,2026-07,400,0.3890249999999999,1.62643646134382,0.28170705863300305,True
Short-term reversal,Jegadeesh 1990,IS,1934-01,1987-12,648,0.9630864197530864,8.407713361874892,1.1441448688985343,True
Short-term reversal,Jegadeesh 1990,OOS,1988-01,1990-07,31,0.35838709677419367,0.8610347990443518,0.5357108964545471,True
Short-term reversal,Jegadeesh 1990,POST,1990-08,2026-07,432,0.13865740740740742,0.8105605379036941,0.135093422983949,True
Profitability (RMW),Novy-Marx 2013,IS,1963-07,2010-12,570,0.27592982456140347,2.8842980864507877,0.41849795199155987,True
Profitability (RMW),Novy-Marx 2013,OOS,2011-01,2013-04,28,0.22142857142857147,0.7048822527506428,0.4614537541801163,True
Profitability (RMW),Novy-Marx 2013,POST,2013-05,2026-07,159,0.19578616352201256,1.0370103192224003,0.28488864453799784,True
Small-firm January,Keim 1983,IS,1963-01,1979-12,204,0.3413725490196078,3.171952384635629,0.769311454193089,True
Small-firm January,Keim 1983,OOS,1980-01,1983-06,42,0.14523809523809525,1.3571495998002736,0.7254269750071417,True
Small-firm January,Keim 1983,POST,1983-07,2026-07,517,0.033829787234042556,0.8294978596633712,0.126374840723762,True
Weekend / Monday,French 1980,IS,1953-01,1977-12,300,0.9343288008104726,9.4481908589189,1.88963817178378,True
Weekend / Monday,French 1980,OOS,1978-01,1980-03,27,0.6170797500286663,1.7365008151243386,1.1576672100828924,True
Weekend / Monday,French 1980,POST,1980-04,2026-07,556,0.22528363200638074,1.9279903114875985,0.28324227527066753,True
Turn-of-the-month,Lakonishok-Smidt 1988,IS,1926-08,1986-12,725,0.5982816483091785,7.312414874480801,0.9407677976238249,True
Turn-of-the-month,Lakonishok-Smidt 1988,OOS,1987-01,1988-12,24,1.3427920751633986,2.1201665356896218,1.499184134630922,True
Turn-of-the-month,Lakonishok-Smidt 1988,POST,1989-01,2026-07,451,0.2111188504944691,1.8822755828233049,0.3070333566901641,True
Halloween / Sell in May,Bouman-Jacobsen 2002,IS,1970-01,1998-08,344,0.5157848837209302,2.0710670867211904,0.3868170145048665,True
Halloween / Sell in May,Bouman-Jacobsen 2002,OOS,1998-09,2002-12,52,0.7851923076923077,1.0331164462860272,0.49629308762836205,True
Halloween / Sell in May,Bouman-Jacobsen 2002,POST,2003-01,2026-07,283,0.15265017667844524,0.5827481566053393,0.11999918975467114,True
